"customerID","gender","contract","payment_method","monthly_charges","total_charges","tenure_months","churn_label","churn_value"
"4080-OGPJL","Female","Month-to-month","Electronic check","71.15","563.65","8","Yes","1"
"2135-RXIHG","Male","Month-to-month","Electronic check","45.65","45.65","1","Yes","1"
"3874-EQOEP","Male","Month-to-month","Mailed check","95","655.5","7","Yes","1"
"0867-MKZVY","Female","Month-to-month","Electronic check","82.4","1592.35","20","Yes","1"
"3376-BMGFE","Female","Month-to-month","Bank transfer (automatic)","70.9","273","4","Yes","1"
"3445-HXXGF","Male","Month-to-month","Electronic check","45.3","2651.2","58","Yes","1"
"1875-QIVME","Female","Month-to-month","Electronic check","104.4","242.8","2","Yes","1"
"0691-JVSYA","Female","One year","Bank transfer (automatic)","94.85","5000.2","53","Yes","1"
"2656-FMOKZ","Female","Month-to-month","Mailed check","74.45","1145.7","15","Yes","1"
"2070-FNEXE","Female","Month-to-month","Bank transfer (automatic)","76.45","503.6","7","Yes","1"
"6317-YPKDH","Female","Month-to-month","Bank transfer (automatic)","29.95","29.95","1","Yes","1"
"9367-WXLCH","Male","Month-to-month","Bank transfer (automatic)","84.5","662.65","8","Yes","1"
"1918-ZBFQJ","Female","Month-to-month","Electronic check","79.25","1111.65","13","Yes","1"
"1024-GUALD","Female","Month-to-month","Electronic check","24.8","24.8","1","Yes","1"
"2472-OVKUP","Male","Month-to-month","Electronic check","91","531","6","Yes","1"
"1285-OKIPP","Male","Month-to-month","Electronic check","79.9","79.9","1","Yes","1"
"7825-ECJRF","Female","Month-to-month","Electronic check","106.6","1934.45","19","Yes","1"
"7841-TZDMQ","Male","Month-to-month","Credit card (automatic)","46","84.5","2","Yes","1"
"9408-SSNVZ","Female","Month-to-month","Electronic check","70.15","268.35","4","Yes","1"
"0742-MOABM","Male","Month-to-month","Mailed check","50.05","179.35","4","Yes","1"
"2232-DMLXU","Female","Month-to-month","Mailed check","55.2","55.2","1","Yes","1"
"8937-RDTHP","Male","Month-to-month","Mailed check","84.6","84.6","1","Yes","1"
"1251-KRREG","Male","Month-to-month","Mailed check","54.4","114.1","2","Yes","1"
"0094-OIFMO","Female","Month-to-month","Electronic check","95","1120.3","11","Yes","1"
"9947-OTFQU","Male","Month-to-month","Electronic check","74.4","1074.3","15","Yes","1"
"0322-YINQP","Male","Month-to-month","Mailed check","48.55","48.55","1","Yes","1"
"4629-NRXKX","Female","Month-to-month","Electronic check","70.4","147.15","2","Yes","1"
"9514-JDSKI","Male","Month-to-month","Electronic check","40.2","40.2","1","Yes","1"
"4959-JOSRX","Female","Month-to-month","Credit card (automatic)","44.6","80.55","2","Yes","1"
"7273-TEFQD","Male","Month-to-month","Electronic check","41.15","132.2","3","Yes","1"
"3606-TWKGI","Male","Month-to-month","Electronic check","106.9","1364.3","13","Yes","1"
"6323-AYBRX","Male","Two year","Mailed check","19.35","1099.6","59","Yes","1"
"4385-GZQXV","Female","Month-to-month","Electronic check","94.45","1511.2","16","Yes","1"
"6366-ZGQGL","Male","Month-to-month","Bank transfer (automatic)","24.8","24.8","1","Yes","1"
"5940-AHUHD","Male","Month-to-month","Mailed check","70.6","70.6","1","Yes","1"
"6432-TWQLB","Male","Month-to-month","Electronic check","85.4","401.1","5","Yes","1"
"4484-GLZOU","Female","Month-to-month","Electronic check","105.05","5624.85","52","Yes","1"
"9512-UIBFX","Male","Month-to-month","Mailed check","95.15","1779.95","18","Yes","1"
"5583-SXDAG","Male","Month-to-month","Electronic check","70","70","1","Yes","1"
"3488-PGMQJ","Male","Month-to-month","Electronic check","74.5","606.55","8","Yes","1"
"3580-REOAC","Male","Month-to-month","Credit card (automatic)","44.85","435.4","10","Yes","1"
"7534-BFESC","Male","Month-to-month","Electronic check","76.1","1712.7","24","Yes","1"
"6390-DSAZX","Female","Month-to-month","Mailed check","73.6","73.6","1","Yes","1"
"8098-LLAZX","Female","Month-to-month","Electronic check","95.45","396.1","4","Yes","1"
"0265-EDXBD","Male","Month-to-month","Electronic check","74.9","2303.35","32","Yes","1"
"7563-BIUPC","Male","Month-to-month","Electronic check","80.6","415.55","5","Yes","1"
"2321-OMBXY","Female","One year","Credit card (automatic)","80.3","3058.65","38","Yes","1"
"2840-XANRC","Male","Month-to-month","Electronic check","93.15","2231.05","24","Yes","1"
"5020-ZSTTY","Female","One year","Bank transfer (automatic)","82.45","4350.1","54","Yes","1"
"5804-LEPIM","Female","Month-to-month","Electronic check","70.35","139.05","2","Yes","1"
"0122-OAHPZ","Female","Month-to-month","Electronic check","73.85","511.25","7","Yes","1"
"2868-SNELZ","Female","Month-to-month","Mailed check","80.6","155.8","2","Yes","1"
"4322-RCYMT","Male","One year","Bank transfer (automatic)","75.8","5293.95","68","Yes","1"
"6680-NENYN","Female","Two year","Electronic check","104.6","4759.85","43","Yes","1"
"1343-EHPYB","Male","Month-to-month","Electronic check","103.4","6603","63","Yes","1"
"2034-GDRCN","Female","Month-to-month","Electronic check","90.4","168.2","2","Yes","1"
"0219-YTZUE","Male","Month-to-month","Bank transfer (automatic)","84.8","371.9","4","Yes","1"
"0623-IIHUG","Female","Month-to-month","Electronic check","41.9","840.1","21","Yes","1"
"4572-DVCGN","Female","Month-to-month","Bank transfer (automatic)","80.25","846","10","Yes","1"
"9057-MSWCO","Male","Month-to-month","Credit card (automatic)","30.75","805.1","27","Yes","1"
"1010-DIAUQ","Male","Month-to-month","Bank transfer (automatic)","96.5","492.55","5","Yes","1"
"0259-GBZSH","Male","Month-to-month","Electronic check","85.65","181.5","2","Yes","1"
"9601-BRXPO","Female","Month-to-month","Bank transfer (automatic)","104.95","2566.5","25","Yes","1"
"6905-NIQIN","Male","Month-to-month","Mailed check","50.65","50.65","1","Yes","1"
"5167-ZFFMM","Male","Month-to-month","Credit card (automatic)","90.85","90.85","1","Yes","1"
"4895-TMWIR","Male","Month-to-month","Mailed check","19.95","214.75","11","Yes","1"
"0533-BNWKF","Female","Month-to-month","Electronic check","85.45","4874.7","55","Yes","1"
"6599-CEBNN","Female","Month-to-month","Credit card (automatic)","73.95","2524.45","34","Yes","1"
"0979-PHULV","Male","Month-to-month","Credit card (automatic)","99.45","7007.6","69","Yes","1"
"4800-VHZKI","Female","Month-to-month","Mailed check","19.9","19.9","1","Yes","1"
"7989-CHGTL","Male","Month-to-month","Mailed check","19.6","19.6","1","Yes","1"
"0334-GDDSO","Male","Month-to-month","Electronic check","81.35","233.7","3","Yes","1"
"0578-SKVMF","Female","Month-to-month","Electronic check","83.3","1845.9","22","Yes","1"
"5564-NEMQO","Female","Month-to-month","Bank transfer (automatic)","75.3","75.3","1","Yes","1"
"9063-ZGTUY","Female","Month-to-month","Mailed check","19.4","1182.55","61","Yes","1"
"2957-LOLHO","Male","Month-to-month","Bank transfer (automatic)","45.4","518.9","12","Yes","1"
"7752-XUSCI","Female","Month-to-month","Electronic check","105.9","6396.45","60","Yes","1"
"4110-PFEUZ","Female","Month-to-month","Mailed check","69.55","69.55","1","Yes","1"
"0256-LTHVJ","Female","Month-to-month","Electronic check","81.05","2227.1","28","Yes","1"
"0880-TKATG","Male","Month-to-month","Electronic check","101.15","385.9","4","Yes","1"
"3811-VBYBZ","Male","Month-to-month","Electronic check","99.8","673.25","7","Yes","1"
"4640-UHDOS","Female","Month-to-month","Electronic check","55.95","734.35","13","Yes","1"
"3583-EKAPL","Male","Month-to-month","Electronic check","55","55","1","Yes","1"
"9399-APLBT","Female","Month-to-month","Electronic check","74.7","74.7","1","Yes","1"
"2359-KMGLI","Male","Month-to-month","Electronic check","80.25","1861.5","24","Yes","1"
"0306-JAELE","Male","Month-to-month","Electronic check","96.1","453.4","5","Yes","1"
"6227-HWPWX","Female","Month-to-month","Bank transfer (automatic)","69","994.8","15","Yes","1"
"0447-BEMNG","Female","Month-to-month","Bank transfer (automatic)","45.3","2145","48","Yes","1"
"5949-XIKAE","Female","Month-to-month","Electronic check","83.55","680.05","8","Yes","1"
"8372-JUXUI","Male","Month-to-month","Electronic check","74.35","74.35","1","Yes","1"
"0388-EOPEX","Female","Month-to-month","Electronic check","74.4","139.4","2","Yes","1"
"8205-OTCHB","Male","One year","Bank transfer (automatic)","43.75","903.6","22","Yes","1"
"6235-VDHOM","Female","Month-to-month","Electronic check","28.45","131.05","5","Yes","1"
"7783-YKGDV","Female","Month-to-month","Bank transfer (automatic)","99.7","1238.45","12","Yes","1"
"5609-CEBID","Female","Month-to-month","Electronic check","94.1","1782.4","20","Yes","1"
"7218-HKQFK","Male","Month-to-month","Electronic check","94.2","167.5","2","Yes","1"
"4636-QRJKY","Female","Month-to-month","Electronic check","80.5","502.85","6","Yes","1"
"5956-VKDTT","Female","Month-to-month","Electronic check","74.35","334.8","5","Yes","1"
"9412-GHEEC","Male","Month-to-month","Bank transfer (automatic)","104.8","4131.95","40","Yes","1"
"0257-ZESQC","Female","Month-to-month","Bank transfer (automatic)","75.2","1929.35","27","Yes","1"
"6825-UYPFK","Female","Month-to-month","Bank transfer (automatic)","75.6","1758.6","23","Yes","1"
"8397-MVTAZ","Male","Month-to-month","Electronic check","100.05","3480","34","Yes","1"
"9282-IZGQK","Female","Month-to-month","Electronic check","85","85","1","Yes","1"
"1342-JPNKI","Male","Month-to-month","Bank transfer (automatic)","86.05","834.1","10","Yes","1"
"2817-NTQDO","Male","Month-to-month","Credit card (automatic)","45.55","597","13","Yes","1"
"6986-IJDHX","Male","Month-to-month","Mailed check","86.3","3266","39","Yes","1"
"5301-GAUUY","Male","Month-to-month","Bank transfer (automatic)","80.35","2596.15","32","Yes","1"
"0939-YAPAF","Female","Month-to-month","Electronic check","100.25","3527.6","35","Yes","1"
"4710-FDUIZ","Male","One year","Credit card (automatic)","100.3","5614.45","56","Yes","1"
"1218-VKFPE","Female","Month-to-month","Mailed check","19","233.55","12","Yes","1"
"3627-FHKBK","Female","Month-to-month","Mailed check","75.3","75.3","1","Yes","1"
"2865-TCHJW","Female","Month-to-month","Electronic check","89.2","346.2","4","Yes","1"
"5192-EBGOV","Female","Month-to-month","Electronic check","85.7","85.7","1","Yes","1"
"0719-SYFRB","Female","Month-to-month","Mailed check","61.65","713.75","12","Yes","1"
"3419-SNJJD","Female","Month-to-month","Bank transfer (automatic)","105.25","6786.4","65","Yes","1"
"6543-CPZMK","Male","Month-to-month","Electronic check","29.95","248.95","9","Yes","1"
"4765-OXPPD","Female","Month-to-month","Mailed check","65","663.05","9","Yes","1"
"1009-IRMNA","Female","Month-to-month","Bank transfer (automatic)","20","137.6","7","Yes","1"
"4554-YGZIH","Male","Month-to-month","Credit card (automatic)","90.05","4547.25","49","Yes","1"
"5099-BAILX","Male","Month-to-month","Bank transfer (automatic)","110.75","4687.9","43","Yes","1"
"7207-RMRDB","Female","Month-to-month","Electronic check","105.5","6985.65","65","Yes","1"
"4913-EHYUI","Male","One year","Bank transfer (automatic)","104.55","5794.65","56","Yes","1"
"0195-IESCP","Male","Month-to-month","Electronic check","85.25","855.3","10","Yes","1"
"4580-TMHJU","Female","Month-to-month","Electronic check","56.15","2499.3","43","Yes","1"
"0970-ETWGE","Male","Month-to-month","Electronic check","89.55","89.55","1","Yes","1"
"1626-ERCMM","Male","Month-to-month","Electronic check","94.55","1899.65","20","Yes","1"
"0887-HJGAR","Male","Month-to-month","Mailed check","45.7","45.7","1","Yes","1"
"5644-PDMZC","Female","Month-to-month","Electronic check","89.5","161.5","2","Yes","1"
"9576-ANLXO","Female","Month-to-month","Bank transfer (automatic)","69.55","222.3","3","Yes","1"
"2024-BASKD","Female","Month-to-month","Mailed check","74.6","74.6","1","Yes","1"
"4160-AMJTL","Female","Month-to-month","Electronic check","19.65","164.3","8","Yes","1"
"4464-JCOLN","Male","One year","Mailed check","19.85","35.9","2","Yes","1"
"5650-VDUDS","Female","Month-to-month","Mailed check","24.25","96.05","4","Yes","1"
"7538-GWHML","Female","Month-to-month","Electronic check","69.65","145.15","2","Yes","1"
"3859-CVCET","Female","Month-to-month","Mailed check","45.65","191.05","4","Yes","1"
"3276-HDUEG","Female","Month-to-month","Mailed check","75.05","75.05","1","Yes","1"
"0823-HSCDJ","Male","Month-to-month","Electronic check","49.15","2550.9","52","Yes","1"
"0822-GAVAP","Female","Month-to-month","Electronic check","34.7","62.25","2","Yes","1"
"1448-PWKYE","Male","Month-to-month","Electronic check","80","80","1","Yes","1"
"0067-DKWBL","Male","Month-to-month","Electronic check","49.25","91.1","2","Yes","1"
"2276-YDAVZ","Female","Month-to-month","Credit card (automatic)","75.1","270.7","3","Yes","1"
"5896-NPFWW","Male","Month-to-month","Electronic check","50.15","168.15","3","Yes","1"
"7133-VBDCG","Female","Month-to-month","Bank transfer (automatic)","79.85","2015.35","25","Yes","1"
"1029-QFBEN","Male","Month-to-month","Mailed check","19.55","19.55","1","Yes","1"
"4952-YSOGZ","Female","Month-to-month","Electronic check","85.95","381.3","4","Yes","1"
"1589-AGTLK","Male","Month-to-month","Electronic check","45.35","141.5","3","Yes","1"
"5244-IRFIH","Male","Month-to-month","Electronic check","94.5","3105.55","33","Yes","1"
"2684-EIWEO","Female","Month-to-month","Credit card (automatic)","91.7","2758.15","30","Yes","1"
"6439-GTPCA","Female","Month-to-month","Electronic check","87.25","3941.7","45","Yes","1"
"5138-WVKYJ","Male","Month-to-month","Electronic check","98.55","1008.55","10","Yes","1"
"6683-VLCTZ","Male","Month-to-month","Electronic check","98.55","1842.8","20","Yes","1"
"2189-WWOEW","Female","Month-to-month","Bank transfer (automatic)","85.9","1269.55","15","Yes","1"
"1894-IGFSG","Female","Month-to-month","Electronic check","89.25","1907.85","22","Yes","1"
"7379-POKDZ","Male","Month-to-month","Electronic check","70.3","208.85","3","Yes","1"
"0236-HFWSV","Male","Month-to-month","Electronic check","93.35","1444.65","15","Yes","1"
"3900-AQPHZ","Female","Month-to-month","Mailed check","19.9","19.9","1","Yes","1"
"5842-POCOP","Female","Month-to-month","Mailed check","88.9","454.15","5","Yes","1"
"2037-XJFUP","Male","One year","Electronic check","95.8","3036.75","33","Yes","1"
"7314-OXENN","Male","Month-to-month","Electronic check","82","184.65","2","Yes","1"
"0322-CHQRU","Male","Month-to-month","Electronic check","45.35","89.5","2","Yes","1"
"4678-DVQEO","Female","Month-to-month","Electronic check","52.2","52.2","1","Yes","1"
"0691-IFBQW","Female","One year","Electronic check","110","4874.8","46","Yes","1"
"3009-JWMPU","Male","One year","Electronic check","96.75","6125.4","62","Yes","1"
"1450-GALXR","Female","Month-to-month","Electronic check","98.5","1058.25","10","Yes","1"
"3138-BKYAV","Male","Month-to-month","Electronic check","85.35","489.45","6","Yes","1"
"4289-DTDKW","Male","Month-to-month","Electronic check","101.3","4113.1","40","Yes","1"
"1820-TQVEV","Male","Month-to-month","Electronic check","69.55","69.55","1","Yes","1"
"2239-JALAW","Male","One year","Bank transfer (automatic)","103.25","6017.65","58","Yes","1"
"4853-RULSV","Male","Two year","Credit card (automatic)","104","7250.15","70","Yes","1"
"6275-YDUVO","Female","Month-to-month","Mailed check","86.2","178.7","2","Yes","1"
"0115-TFERT","Male","Month-to-month","Electronic check","111.2","2317.1","21","Yes","1"
"2311-QYMUQ","Female","Month-to-month","Credit card (automatic)","89.45","1430.25","16","Yes","1"
"3643-AHCFP","Male","Month-to-month","Bank transfer (automatic)","95.6","644.35","7","Yes","1"
"3104-OWCGK","Male","One year","Electronic check","90.95","5453.4","60","Yes","1"
"9101-BWFSS","Female","One year","Electronic check","108.55","5610.7","50","Yes","1"
"9231-ZJYAM","Female","Month-to-month","Electronic check","78.85","292.8","4","Yes","1"
"6982-SSHFK","Male","Month-to-month","Mailed check","44.4","44.4","1","Yes","1"
"0727-BMPLR","Female","One year","Electronic check","100","5509.3","55","Yes","1"
"1038-ZAGBI","Female","One year","Bank transfer (automatic)","19.8","229.6","12","Yes","1"
"3027-ZTDHO","Male","Month-to-month","Electronic check","89.9","89.9","1","Yes","1"
"2382-BCKQJ","Female","One year","Electronic check","100.15","6413.65","62","Yes","1"
"2207-NHRJK","Male","Month-to-month","Electronic check","50.8","50.8","1","Yes","1"
"0947-MUGVO","Male","Month-to-month","Electronic check","73.65","1463.5","20","Yes","1"
"9944-HKVVB","Female","Month-to-month","Electronic check","95.1","307.4","3","Yes","1"
"4124-MMETB","Male","Month-to-month","Credit card (automatic)","94.65","2104.55","22","Yes","1"
"3671-SHRSP","Male","Month-to-month","Mailed check","80.6","319.15","4","Yes","1"
"3313-QKNKB","Male","One year","Electronic check","85.55","5084.65","59","Yes","1"
"5073-WXOYN","Female","Month-to-month","Electronic check","50.8","3027.4","60","Yes","1"
"0207-MDKNV","Female","Month-to-month","Electronic check","105.1","1582.75","15","Yes","1"
"9851-KIELU","Male","Month-to-month","Electronic check","110.1","1043.3","10","Yes","1"
"3908-BLSYF","Female","Month-to-month","Electronic check","83.9","497.55","6","Yes","1"
"7549-MYGPK","Female","Month-to-month","Electronic check","100.55","6215.35","63","Yes","1"
"3804-RVTGV","Male","Month-to-month","Bank transfer (automatic)","103.85","5017.9","50","Yes","1"
"9227-LUNBG","Female","Month-to-month","Electronic check","24.6","24.6","1","Yes","1"
"4315-MURBD","Female","Month-to-month","Bank transfer (automatic)","98.9","1120.95","12","Yes","1"
"9734-YWGEX","Female","Month-to-month","Credit card (automatic)","98.3","923.5","9","Yes","1"
"2719-BDAQO","Male","Month-to-month","Electronic check","93.85","1625.65","17","Yes","1"
"0781-LKXBR","Male","Month-to-month","Electronic check","100.5","918.6","9","Yes","1"
"1907-UBQFC","Male","Month-to-month","Electronic check","72.85","688.65","10","Yes","1"
"6513-EECDB","Male","Month-to-month","Electronic check","73.55","73.55","1","Yes","1"
"7074-IEVOJ","Female","Month-to-month","Electronic check","79.4","205.05","3","Yes","1"
"9625-QSTYE","Female","Month-to-month","Electronic check","81.15","952.3","13","Yes","1"
"4750-ZRXIU","Female","Month-to-month","Electronic check","84.6","360.1","4","Yes","1"
"6400-BWQKW","Female","Month-to-month","Electronic check","79.05","434.5","6","Yes","1"
"6680-WKXRZ","Female","Month-to-month","Bank transfer (automatic)","74.4","215.8","3","Yes","1"
"7028-DVOIQ","Male","Month-to-month","Electronic check","99.05","3395.8","35","Yes","1"
"4208-UFFGW","Male","Month-to-month","Mailed check","44.95","85.15","2","Yes","1"
"9448-REEVD","Male","Month-to-month","Credit card (automatic)","44.7","44.7","1","Yes","1"
"9117-SHLZX","Male","Month-to-month","Mailed check","45.7","45.7","1","Yes","1"
"9889-TMAHG","Male","Month-to-month","Credit card (automatic)","100.3","832.35","8","Yes","1"
"4541-RMRLG","Male","Month-to-month","Electronic check","19.25","112.3","7","Yes","1"
"3158-MOERK","Female","Month-to-month","Electronic check","96","174.8","2","Yes","1"
"7294-TMAOP","Female","Month-to-month","Electronic check","90.55","90.55","1","Yes","1"
"8919-FYFQZ","Male","Month-to-month","Electronic check","30.35","1359.7","44","Yes","1"
"2834-JRTUA","Male","Two year","Electronic check","108.05","7532.15","71","Yes","1"
"5875-YPQFJ","Male","Month-to-month","Electronic check","69.9","69.9","1","Yes","1"
"6646-QVXLR","Male","One year","Electronic check","103.75","6383.35","62","Yes","1"
"8603-IJWDN","Male","Month-to-month","Electronic check","86.6","86.6","1","Yes","1"
"9369-XFEHK","Female","Month-to-month","Bank transfer (automatic)","80.6","2656.5","33","Yes","1"
"3842-IYKUE","Female","Month-to-month","Credit card (automatic)","85.3","2917.5","35","Yes","1"
"6641-XRPSU","Female","Month-to-month","Credit card (automatic)","70","2416.1","34","Yes","1"
"1374-DMZUI","Female","Month-to-month","Electronic check","94.3","424.45","4","Yes","1"
"8357-EQXFO","Female","Month-to-month","Electronic check","95.35","660.9","7","Yes","1"
"1989-PRJHP","Male","Month-to-month","Electronic check","75.5","1893.95","27","Yes","1"
"9524-EGPJC","Female","Month-to-month","Electronic check","90.1","1612.75","18","Yes","1"
"6993-OHLXR","Female","Month-to-month","Electronic check","68.95","119.75","2","Yes","1"
"8818-XYFCQ","Male","Month-to-month","Credit card (automatic)","99.55","3204.65","32","Yes","1"
"4695-VADHF","Male","Month-to-month","Electronic check","57.45","990.85","18","Yes","1"
"3863-IUBJR","Male","One year","Credit card (automatic)","53.65","696.35","12","Yes","1"
"4822-RVYBB","Male","Month-to-month","Electronic check","100.6","819.4","8","Yes","1"
"8436-BJUMM","Male","Month-to-month","Electronic check","83.75","2070.6","26","Yes","1"
"4184-TJFAN","Female","Month-to-month","Mailed check","88.3","273.75","3","Yes","1"
"4145-UQXUQ","Female","Month-to-month","Electronic check","92.1","729.95","8","Yes","1"
"9948-YPTDG","Male","Month-to-month","Electronic check","79.45","3013.05","38","Yes","1"
"1236-WFCDV","Male","Month-to-month","Credit card (automatic)","90.45","1266.1","14","Yes","1"
"4883-QICIH","Male","Month-to-month","Bank transfer (automatic)","69.75","2347.9","32","Yes","1"
"8329-IBCTI","Female","Month-to-month","Mailed check","19.65","19.65","1","Yes","1"
"1271-SJBGZ","Male","Month-to-month","Electronic check","43.65","526.95","12","Yes","1"
"5669-SRAIP","Female","Month-to-month","Electronic check","39.5","210.75","5","Yes","1"
"5981-ITEMU","Male","Month-to-month","Bank transfer (automatic)","97.1","3706.95","40","Yes","1"
"6941-PMGEP","Female","Month-to-month","Electronic check","80","412.5","5","Yes","1"
"1624-WOIWJ","Female","Month-to-month","Mailed check","84.7","832.05","10","Yes","1"
"2074-GKOWZ","Male","Month-to-month","Bank transfer (automatic)","89.55","185.55","2","Yes","1"
"0376-YMCJC","Male","Month-to-month","Electronic check","90.6","1943.2","23","Yes","1"
"0634-SZPQA","Female","Month-to-month","Bank transfer (automatic)","90.05","2169.8","23","Yes","1"
"5536-RTPWK","Male","Month-to-month","Bank transfer (automatic)","99.05","4853.75","49","Yes","1"
"6166-ILMNY","Female","Month-to-month","Bank transfer (automatic)","69.75","144.55","2","Yes","1"
"3097-NNSPB","Female","Month-to-month","Credit card (automatic)","49.05","91.1","2","Yes","1"
"0655-RBDUG","Male","Month-to-month","Bank transfer (automatic)","98.05","713","7","Yes","1"
"4361-BKAXE","Female","Month-to-month","Bank transfer (automatic)","114.5","4527.45","41","Yes","1"
"9878-TNQGW","Male","Month-to-month","Electronic check","80.95","171.15","2","Yes","1"
"4441-NIHPT","Female","Month-to-month","Electronic check","74.3","940.35","13","Yes","1"
"8999-BOHSE","Female","Month-to-month","Bank transfer (automatic)","89.7","1047.7","11","Yes","1"
"7029-RPUAV","Male","Month-to-month","Credit card (automatic)","100.45","1622.45","17","Yes","1"
"4607-CHPCA","Male","One year","Electronic check","90.4","2178.6","25","Yes","1"
"8824-RWFXJ","Male","Month-to-month","Mailed check","56.15","168.15","3","Yes","1"
"9763-PDTKK","Female","Month-to-month","Bank transfer (automatic)","94.4","387.2","4","Yes","1"
"7627-JKIAZ","Female","Month-to-month","Credit card (automatic)","78.95","2839.65","37","Yes","1"
"4081-DYXAV","Female","One year","Credit card (automatic)","44.85","893.55","19","Yes","1"
"8111-SLLHI","Male","Month-to-month","Electronic check","105.65","4284.8","39","Yes","1"
"0927-LCSMG","Male","Month-to-month","Mailed check","74.65","544.55","7","Yes","1"
"8257-RZAHR","Female","Month-to-month","Bank transfer (automatic)","64.7","941","14","Yes","1"
"5293-WXJAK","Female","Month-to-month","Bank transfer (automatic)","104.05","1133.65","11","Yes","1"
"0841-NULXI","Male","Month-to-month","Electronic check","35.55","35.55","1","Yes","1"
"7851-WZEKY","Female","Month-to-month","Electronic check","95.15","196.9","2","Yes","1"
"8844-TONUD","Male","Month-to-month","Mailed check","96.65","1162.85","13","Yes","1"
"4086-YQSNZ","Female","Month-to-month","Electronic check","80.4","224.05","3","Yes","1"
"5868-CZJDR","Male","Month-to-month","Mailed check","31.35","31.35","1","Yes","1"
"0135-NMXAP","Female","Month-to-month","Bank transfer (automatic)","89.75","1052.4","12","Yes","1"
"6270-OMFIW","Male","One year","Electronic check","94.4","5610.25","60","Yes","1"
"0107-WESLM","Male","Month-to-month","Electronic check","19.85","19.85","1","Yes","1"
"3992-YWPKO","Female","Month-to-month","Credit card (automatic)","109.9","669.45","6","Yes","1"
"0125-LZQXK","Male","Month-to-month","Electronic check","101.35","1553.95","15","Yes","1"
"8399-YNDCH","Male","Month-to-month","Bank transfer (automatic)","60.05","1236.15","21","Yes","1"
"5673-FSSMF","Female","Month-to-month","Electronic check","60.15","60.15","1","Yes","1"
"1579-KLYDT","Male","Month-to-month","Electronic check","90.45","593.45","7","Yes","1"
"3927-NLNRY","Male","One year","Bank transfer (automatic)","94.25","4867.95","53","Yes","1"
"6358-LYNGM","Male","Month-to-month","Electronic check","74.9","74.9","1","Yes","1"
"5494-HECPR","Female","Month-to-month","Electronic check","80.25","80.25","1","Yes","1"
